ID,post_parent,sku,post_title,post_excerpt,post_content,post_status,regular_price,sale_price,stock_status,stock,manage_stock,weight,length,width,height,images,tax:product_type,tax:product_cat,tax:product_tag,visibility,featured,downloadable,virtual,backorders,menu_order,tax_status,tax_class,shipping_class,attribute:Baleni_obsahuje,attribute:Barva,attribute:Délka rukávu,attribute:Gard,attribute:Hmotnost,attribute:Kapacita,attribute:Kategorie bot,attribute:Kolekce,attribute:Materiál,attribute:Objem,attribute:Ochrana_kotniku,attribute:Ochrana_prstu,attribute:Pocet_raket,attribute:Pohlaví,attribute:Povrch,attribute:Rozmery,attribute:Sport,attribute:Strih_rukavic,attribute:Střih,attribute:Technologie,attribute:Typ kopaček,attribute:Typ_mice,attribute:Typ_rukavic,attribute:Typ_spojeni_zaplaty,attribute:Třída kopaček,attribute:Velikost,attribute:Velikost_hlavy,attribute:Velikost_mice,attribute:Vyska_podpatku,attribute:Vyvazeni_rakety,attribute:Vzor_vypletu,attribute:Zapínání,attribute:pa_velikost,attribute_data:Baleni_obsahuje,attribute_data:Barva,attribute_data:Délka rukávu,attribute_data:Gard,attribute_data:Hmotnost,attribute_data:Kapacita,attribute_data:Kategorie bot,attribute_data:Kolekce,attribute_data:Materiál,attribute_data:Objem,attribute_data:Ochrana_kotniku,attribute_data:Ochrana_prstu,attribute_data:Pocet_raket,attribute_data:Pohlaví,attribute_data:Povrch,attribute_data:Rozmery,attribute_data:Sport,attribute_data:Strih_rukavic,attribute_data:Střih,attribute_data:Technologie,attribute_data:Typ kopaček,attribute_data:Typ_mice,attribute_data:Typ_rukavic,attribute_data:Typ_spojeni_zaplaty,attribute_data:Třída kopaček,attribute_data:Velikost,attribute_data:Velikost_hlavy,attribute_data:Velikost_mice,attribute_data:Vyska_podpatku,attribute_data:Vyvazeni_rakety,attribute_data:Vzor_vypletu,attribute_data:Zapínání,attribute_data:pa_velikost,attribute_default:pa_velikost,meta:attribute_baleni_obsahuje,meta:attribute_barva,meta:attribute_délka rukávu,meta:attribute_gard,meta:attribute_hmotnost,meta:attribute_kapacita,meta:attribute_kategorie bot,meta:attribute_kolekce,meta:attribute_materiál,meta:attribute_objem,meta:attribute_ochrana_kotniku,meta:attribute_ochrana_prstu,meta:attribute_pa_velikost,meta:attribute_pocet_raket,meta:attribute_pohlaví,meta:attribute_povrch,meta:attribute_rozmery,meta:attribute_sport,meta:attribute_strih_rukavic,meta:attribute_střih,meta:attribute_technologie,meta:attribute_typ kopaček,meta:attribute_typ_mice,meta:attribute_typ_rukavic,meta:attribute_typ_spojeni_zaplaty,meta:attribute_třída kopaček,meta:attribute_velikost,meta:attribute_velikost_hlavy,meta:attribute_velikost_mice,meta:attribute_vyska_podpatku,meta:attribute_vyvazeni_rakety,meta:attribute_vzor_vypletu,meta:attribute_zapínání
1619,,033201_parent,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,15,yes,0.9,,,,,Variable,Muži > Pánské boty,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 1/3|40|40 2/3|41 1/3|42|42 2/3|43 1/3|44|44 2/3|45 1/3|46|46 2/3|47 1/3|48|48 2/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|1|1,39 1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,1619,033201_2,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 39 1/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,15,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 1/3,,,,,,,,,,,,,,,,,,,,
1621,1619,033201_3,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 40,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,30,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
1622,1619,033201_4,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 40 2/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 2/3,,,,,,,,,,,,,,,,,,,,
1623,1619,033201_5,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 41 1/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,54,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41 1/3,,,,,,,,,,,,,,,,,,,,
1624,1619,033201_6,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 42 2/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 2/3,,,,,,,,,,,,,,,,,,,,
1625,1619,033201_7,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 43 1/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 1/3,,,,,,,,,,,,,,,,,,,,
1626,1619,033201_8,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 44,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,16,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,
1627,1619,033201_9,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 44 2/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,6,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44 2/3,,,,,,,,,,,,,,,,,,,,
1628,1619,033201_10,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 46,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,28,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,
1629,1619,033201_11,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 42,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3154.6684,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,
1630,1619,033201_12,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 45 1/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,27,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 1/3,,,,,,,,,,,,,,,,,,,,
1631,1619,033201_13,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 46 2/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,4,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46 2/3,,,,,,,,,,,,,,,,,,,,
1632,1619,033201_14,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 47 1/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3153.3505,2546.27,instock,2,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47 1/3,,,,,,,,,,,,,,,,,,,,
1633,1619,033201_15,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 48,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3154.6684,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
1634,1619,033201_16,Pánské kopačky lisovky Adidas Kaiser 5 Liga FG černé 48 2/3,"Pánské kopačky lisovky Adidas Kaiser 5 Liga FG v klasickém černém provedení jsou ideální volbou pro vášnivé fotbalisty, kteří hledají kvalitní obuv pro hru na trávníku. Tyto kopačky jsou součástí ikonické řady Kaiser 5 od značky Adidas a nabízejí dokonalou kombinaci stylu, pohodlí a výkonu.

Kopačky jsou vyrobeny z kvalitního materiálu a mají pevnou a odolnou konstrukci, která zaručuje dlouhou životnost. Kvalitní kůže na horní části kopaček poskytuje vynikající kontrolu míče a přesnost při kopání. Pánské kopačky lisovky Adidas Kaiser 5 Liga FG mají elegantní design s černou barvou a bílými detaily, které jim dodávají sofistikovaný vzhled.",,publish,3154.6684,2546.27,outofstock,0,yes,0.9,,,,,,,,visible,no,no,no,no,0,taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 2/3,,,,,,,,,,,,,,,,,,,,
